"case_ID","Countryname","Year","Letter","partyID","Country","partyNAME"
"Czech Republic/Czechia_2006","Czech Republic/Czechia","2006","F",2030074,"Czech Republic/Czechia","  SNK European Democrats (SNK ED) - SEE POLITY NOTES"
"Czech Republic/Czechia_2010","Czech Republic/Czechia","2010","A",2030001,"Czech Republic/Czechia","  Czech Social Democratic Party (CSSD)"
"Czech Republic/Czechia_2010","Czech Republic/Czechia","2010","B",2030002,"Czech Republic/Czechia","  Civic Democratic Party (ODS)"
"Czech Republic/Czechia_2010","Czech Republic/Czechia","2010","C",2030010,"Czech Republic/Czechia","  TOP 09 (TOP 09)"
"Czech Republic/Czechia_2010","Czech Republic/Czechia","2010","D",2030004,"Czech Republic/Czechia","  Communist Party of Bohemia and Moravia (KSCM)"
"Czech Republic/Czechia_2010","Czech Republic/Czechia","2010","E",2030014,"Czech Republic/Czechia","  Public Affairs (VV)"
"Czech Republic/Czechia_2010","Czech Republic/Czechia","2010","F",2030003,"Czech Republic/Czechia","  Christian Democratic Union - Czech People's Party (KDU-CSL)"
"Czech Republic/Czechia_2010","Czech Republic/Czechia","2010","G",2030031,"Czech Republic/Czechia","  Party of Citizen Rights-Zemanites (SPO)"
"Czech Republic/Czechia_2010","Czech Republic/Czechia","2010","H",2030005,"Czech Republic/Czechia","  Green Party (SZ)"
"Czech Republic/Czechia_2013","Czech Republic/Czechia","2013","A",2030001,"Czech Republic/Czechia","  Czech Social Democratic Party (CSSD)"
"Czech Republic/Czechia_2013","Czech Republic/Czechia","2013","B",2030006,"Czech Republic/Czechia","  Action of Dissatisfied Citizens (ANO 2011)"
"Czech Republic/Czechia_2013","Czech Republic/Czechia","2013","C",2030004,"Czech Republic/Czechia","  Communist Party of Bohemia and Moravia (KSCM)"
"Czech Republic/Czechia_2013","Czech Republic/Czechia","2013","D",2030010,"Czech Republic/Czechia","  TOP 09 (TOP 09)"
"Czech Republic/Czechia_2013","Czech Republic/Czechia","2013","E",2030002,"Czech Republic/Czechia","  Civic Democratic Party (ODS)"
"Czech Republic/Czechia_2013","Czech Republic/Czechia","2013","F",2030013,"Czech Republic/Czechia","  Dawn of Direct Democracy of Tomio Okamura (Usvit)"
"Czech Republic/Czechia_2013","Czech Republic/Czechia","2013","G",2030003,"Czech Republic/Czechia","  Christian Democratic Union - Czech People's Party (KDU-CSL)"
"Czech Republic/Czechia_2013","Czech Republic/Czechia","2013","H",2030005,"Czech Republic/Czechia","  Green Party (SZ)"
"Czech Republic/Czechia_2013","Czech Republic/Czechia","2013","I",2030012,"Czech Republic/Czechia","  Czech Pirate Party (Pirati)"
"Czech Republic/Czechia_2017","Czech Republic/Czechia","2017","A",2030006,"Czech Republic/Czechia","  Action of Dissatisfied Citizens (ANO 2011)"
"Czech Republic/Czechia_2017","Czech Republic/Czechia","2017","B",2030002,"Czech Republic/Czechia","  Civic Democratic Party (ODS)"
