Country,partyID,partyNAME
Czech Republic/Czechia,2030096,  Pensioners 21
Czech Republic/Czechia,2030097,  The Left
Czech Republic/Czechia,2030098,  Order of the Nation (SKP - RN)
Czech Republic/Czechia,2030200,  Together (SPOLU) - SEE POLITY NOTES
Czech Republic/Czechia,2030201,  Pirates and Mayors (PirStan) - SEE POLITY NOTES
Czech Republic/Czechia,2030202,  Tricolor Citizen's Movement (Trikolora) - SEE POLITY NOTES
Denmark,2080001,  Social Democrats (Sd)
Denmark,2080002,"  Venstre, Denmark's Liberal Party (V)"
Denmark,2080003,  Progress Party (FrP)
Denmark,2080004,  Socialist People's Party (SF)
Denmark,2080005,  Unity List - Red-Green Alliance (EL)
Denmark,2080006,  Danish Social Liberal Party (RV)
Denmark,2080007,  Conservative People's Party (KF)
Denmark,2080008,  Christian Democrats (KD) - SEE POLITY NOTES
Denmark,2080009,  New Alliance (NA) / Liberal Alliance (LA) - SEE POLITY NOTES
Denmark,2080010,  Danish People's Party (DF)
Denmark,2080011,  Centre Democrats (CD)
Denmark,2080012,  The Alternative (A)
Denmark,2080013,  The New Right (NB)
Denmark,2080014,  Democratic Renewal
Denmark,2080015,  Minority Party
Denmark,2080016,  Hard Line 
Denmark,2080017,  Klaus Riskaer Pedersen List
El Salvador,2220001,  Grand Alliance for National Unity (GANA)
El Salvador,2220002,  Alliance for a New Country (ARENA-PCN-PDC-DSP) / ARENA
El Salvador,2220003,  Farabundo Marti National Liberation Front (FMLN)
El Salvador,2220004,  Let's Go (Vamos)
El Salvador,2220005,  New Ideas (NI)
El Salvador,2220006,  Unity Movement (UNIDAD)
El Salvador,2220007,  National Coalition Party (PCN)
El Salvador,2220008,  Christian Democratic Party (PDC)
El Salvador,2220009,  Democratic Change (CD)
Estonia,2330001,  Estonian Reform Party (ER e)
Estonia,2330002,  Estonian Centre Party (EK)
Estonia,2330003,  Social Democratic Party (SDE)
Estonia,2330004,  Pro Patria and Res Publica Union (IRL)
Estonia,2330005,  Estonian Greens (EER)
Estonia,2330006,  Conservative People's Party of Estonia (EKRE)
Estonia,2330007,  Estonian Independence Party (EIP)
Estonia,2330009,  Estonian Free Party (EV)
Estonia,2330013,  Russian Party in Estonia (VEE) - SEE POLITY NOTES
Estonia,2330014,  Estonian Christian Democrats (EKD)
Estonia,2330016,  Estonian People's Union (ER a) 
Finland,2460001,  Center Party of Finland (KESK)
Finland,2460002,  Social Democratic Party of Finland (SDP)
Finland,2460003,  National Coalition Party (KOK)
Finland,2460004,  True Finns / The Finns Party (PS) - SEE POLITY NOTES
Finland,2460005,  Green League (VIHR)
Finland,2460006,  Left Alliance (VAS)
