id,country,year,Party,party,num_id,lhvote,lhseat,voterlr,pre_gov,post_gov,pmalt,prepmalt,partycountry,maj,pres,plu,majsurvey,nparty,wmedlrcvr,difmedlrcvr,remove_s,nelec,missing
BLR_2008,BLR,2008,CPB,A,1120001,4.27,6.36,3.398907104,0,0,0,0,BLR CPB,0,0,1,0,7,0.142857143,1.293426685,0,2,0
BLR_2008,BLR,2008,BPF,C,1120017,NA,0,5.434306569,0,0,0,0,BLR BPF,0,0,0,0,7,0.142857143,0.74197278,0,2,0
BLR_2008,BLR,2008,BNF,D,1120027,1.35,0,5.138586957,0,0,0,0,BLR BNF,0,0,0,0,7,0.142857143,0.446253168,0,2,0
BLR_2008,BLR,2008,BLP,E,1120008,2.2,0,3.504477612,0,0,0,0,BLR BLP,0,0,0,0,7,0.142857143,1.187856177,0,2,0
BLR_2008,BLR,2008,UCP,F,1120005,2.45,0,5.3,0,0,0,0,BLR UCP,0,0,0,0,7,0.142857143,0.607666211,0,2,0
BLR_2008,BLR,2008,BSDP,G,1120009,1.09,0,5.017241379,0,0,0,0,BLR BSDP,0,0,0,0,7,0.142857143,0.32490759,0,2,0
BLR_2008,BLR,2008,LDP,H,1120002,0.81,0,5.052816901,0,0,0,0,BLR LDP,0,0,0,0,7,0.142857143,0.360483113,0,2,0
BRA_2002,BRA,2002,PT,A,760001,18.4,17.7,3.703043022,0,1,NA,NA,BRA PT,0,1,1,0,6,0,1.89466433,0,5,0
BRA_2002,BRA,2002,PSDB,B,760002,14.3,13.8,6.152927121,1,0,NA,NA,BRA PSDB,0,1,0,0,6,0,0.555219768,0,5,0
BRA_2002,BRA,2002,DEM,C,760009,13.4,16.4,6.003015682,1,0,NA,NA,BRA DEM,0,1,0,0,6,0.333333333,0.405308329,0,5,0
BRA_2002,BRA,2002,PMDB,D,760003,13.4,14.4,6.082292849,1,0,NA,NA,BRA PMDB,0,1,0,0,6,0.333333333,0.484585497,0,5,0
BRA_2002,BRA,2002,PDT,G,760011,5.1,4.1,6.152927121,0,1,NA,NA,BRA PDT,0,1,0,0,6,0,0.555219768,0,5,0
BRA_2002,BRA,2002,PTB,H,760010,4.6,5.1,4.707813526,0,1,NA,NA,BRA PTB,0,1,0,0,6,0.333333333,0.889893826,0,5,0
BRA_2006,BRA,2006,PMDB,A,760003,14.6,17.3,5.736462094,1,1,NA,NA,BRA PMDB,0,1,1,0,6,0,0.802239244,0,5,0
BRA_2006,BRA,2006,PT,B,760001,15,16.2,4.041118421,1,1,NA,NA,BRA PT,0,1,0,0,6,0.25,0.893104429,0,5,0
BRA_2006,BRA,2006,PSDB,C,760002,13.6,12.9,5.725,0,0,NA,NA,BRA PSDB,0,1,0,0,6,0.25,0.79077715,0,5,0
BRA_2006,BRA,2006,PFL,D,760009,10.9,12.7,5.453531599,0,0,NA,NA,BRA PFL,0,1,0,0,6,0.25,0.519308749,0,5,0
BRA_2006,BRA,2006,PDT,E,760011,5.2,4.7,4.020676692,0,1,NA,NA,BRA PDT,0,1,0,0,6,0,0.913546158,0,5,0
BRA_2006,BRA,2006,PTB,F,760010,4.7,4.3,4.517241379,1,1,NA,NA,BRA PTB,0,1,0,0,6,0.25,0.41698147,0,5,0
BRA_2010,BRA,2010,PT,A,760001,16.9,17.2,4.618723404,1,1,NA,NA,BRA PT,0,1,1,0,6,0.25,0.840878193,0,5,0
BRA_2010,BRA,2010,PMDB,B,760003,13,15.4,6.187855787,1,1,NA,NA,BRA PMDB,0,1,0,0,6,0.25,0.72825419,0,5,0
BRA_2010,BRA,2010,PSDB,C,760002,11.9,10.3,5.877513711,0,0,NA,NA,BRA PSDB,0,1,0,0,6,0.25,0.417912114,0,5,0
BRA_2010,BRA,2010,DEM,E,760009,7.53,8.4,5.154313487,0,0,NA,NA,BRA DEM,0,1,0,0,6,0.25,0.30528811,0,5,0
BRA_2010,BRA,2010,PDT,H,760011,4.98,5.5,4.07545045,1,1,NA,NA,BRA PDT,0,1,0,0,6,0,1.384151147,0,5,0
BRA_2010,BRA,2010,PTB,I,760010,4.17,4.1,4.320046893,0,0,NA,NA,BRA PTB,0,1,0,0,6,0,1.139554704,0,5,0
